name;type
Walmart;company
Swiss Federal Institute of Technology in Zurich;university
Johannes Gutenberg University of Mainz;university
University of Chemistry and Technology, Prague;university
University of Barcelona;university
Middle East Technical University;university
Glencore International;company
Oakland University;university
University of Siena;university
Yuan Ze University;university
University of Udine;university
University of Valladolid;university
University of Texas Southwestern Medical Center;university
Yuan Ze University;university
Yeshiva University;university
Arizona State University;university
University of Lisbon;university
McGill University;university
University of Seoul;university
China Evergrande Group;company
Xidian University;university
National Autonomous University of Mexico;university
Sapienza University of Rome;university
Deakin University;university
McMaster University;university
UNESP, SÃ£o Paulo State University;university
University of Turku;university
University of Kiel;university
Magna GrÃ¦cia University of Catanzaro;university
Technion â€“ Israel Institute of Technology;university
University of LÃ¼beck;university
China Merchants Bank;company
Federal University of Bahia;university
Bielefeld University;university
Hong Kong University of Science and Technology;university
University of Franche-ComtÃ©;university
Tulane University;university
Toho University;university
University of Maribor;university
eBay;company
University of Cologne;university
Sejong University;university
University of Modena and Reggio Emilia;university
University of Western Sydney;university
Technical University of Denmark;university
University of Zurich;university
University of Edinburgh;university
PalackÃ½ University, Olomouc;university
Wilfrid Laurier University;university
University of Copenhagen;university
University of Virginia;university
South China Normal University;university
University of Tehran;university
University of Missouriâ€“Kansas City;university
University of Salerno;university
VINCI;company
University of Paris-Sud;university
Binghamton University;university
Biogen;company
University of Cape Town;university
Yeungnam University;university
Tesco;company
University of Auckland;university
Tianjin University;university
Albany Medical College;university
General Mills;company
Lehigh University;university
Oregon Health & Science University;university
University of Hamburg;university
Seoul National University;university
Griffith University;university
Uppsala University;university
National Chung Cheng University;university
University of Yamanashi;university
Kroger;company
Adam Mickiewicz University in PoznaÅ„;university
China State Construction Engineering;company
Bank of Communications;company
University of South Australia;university
Middle East Technical University;university
Nordea Bank;company
Queensland University of Technology;university
University of BrasÃ­lia;university
University of Southern Mississippi;university
Total;company
Pukyong National University;university
Northwest A&F University;university
University of Salerno;university
Nintendo;company
National University of Ireland, Galway;university
Ã…bo Akademi University;university
Federal University of SÃ£o Carlos;university
Country Garden Holdings;company
University of South Alabama;university
University of Iceland;university
Indian Institute of Science;university
Icahn School of Medicine at Mount Sinai;university
St George's, University of London;university
Princeton University;university
Mahidol University;university
University of the Ryukyus;university
Harvard University;university
Nicolaus Copernicus University in ToruÅ„;university
Industrial Bank;company
Oklahoma State Universityâ€“Stillwater;university
University of Victoria;university
Tokyo Women's Medical University;university
Hunter College;university
Ohio University;university
Arizona State University;university
University of ConcepciÃ³n;university
Osaka Prefecture University;university
